person,personLabels,birthDates,birthPlaceLabels,deathDates,deathPlaceLabels,occupationLabels
http://www.wikidata.org/entity/Q60280340,Gérard Jean Batiste Haentjens,1849-05-21T00:00:00Z,Gérard Jean Batiste Haentjens,1899-05-03T00:00:00Z,Amsterdam,photographer
http://www.wikidata.org/entity/Q60280383,Gerrtrui Johanna Haghuis,1898-04-13T00:00:00Z,Gerrtrui Johanna Haghuis,1979-06-06T00:00:00Z,Alkmaar,photographer
http://www.wikidata.org/entity/Q60280423,David Jacob Hamburger,1816-01-30T00:00:00Z,David Jacob Hamburger,1863-07-28T00:00:00Z,Amsterdam,photographer
http://www.wikidata.org/entity/Q60280465,Augustus Franciscus Harms,1849-02-23T00:00:00Z,Augustus Franciscus Harms,1903-11-07T00:00:00Z,Amsterdam,photographer
http://www.wikidata.org/entity/Q60280504,Petrus Johannes Fredericus Harts,1895-06-16T00:00:00Z,Petrus Johannes Fredericus Harts,1943-05-22T00:00:00Z,Helmond,photographer
http://www.wikidata.org/entity/Q60280548,Wijnard van Haselen,1883-02-19T00:00:00Z,Wijnard van Haselen,1952-12-19T00:00:00Z,Amersfoort,photographer
http://www.wikidata.org/entity/Q60280610,Alida van Hasselt,1879-11-24T00:00:00Z,Alida van Hasselt,1945-01-06T00:00:00Z,,photographer
http://www.wikidata.org/entity/Q60280795,Bernard Gerhard Heupers,1887-01-21T00:00:00Z,Bernard Gerhard Heupers,1972-09-08T00:00:00Z,Enschede,photographer
http://www.wikidata.org/entity/Q60280836,Benjamin van den Heuvel,1873-03-27T00:00:00Z,Benjamin van den Heuvel,1946-12-23T00:00:00Z,Hilversum,photographer
http://www.wikidata.org/entity/Q60280888,Gerben Hiemstra,1854-02-15T00:00:00Z,Gerben Hiemstra,1907-01-27T00:00:00Z,Amsterdam,photographer
http://www.wikidata.org/entity/Q60280986,M.M. van der Klugt,1838-09-06T00:00:00Z,M.M. van der Klugt,1892-08-04T00:00:00Z,The Hague,photographer
http://www.wikidata.org/entity/Q60281014,Willem Frans Warburg,1874-03-01T00:00:00Z,Willem Frans Warburg,1946-09-01T00:00:00Z,Amsterdam,photographer
http://www.wikidata.org/entity/Q60281074,Hermanus Adrianus Waijers,1872-11-25T00:00:00Z,Hermanus Adrianus Waijers,1950-10-13T00:00:00Z,Helmond,photographer
http://www.wikidata.org/entity/Q60281242,Wilhelm Ludwig Weise,1896-06-25T00:00:00Z,Wilhelm Ludwig Weise,1976-07-07T00:00:00Z,Enschede,photographer
http://www.wikidata.org/entity/Q60281495,Karel Wilke,1845-12-10T00:00:00Z,Karel Wilke,1907-07-11T00:00:00Z,Amsterdam,photographer
http://www.wikidata.org/entity/Q60281530,Frederik Willem Wilke,1836-09-26T00:00:00Z,Frederik Willem Wilke,1895-02-14T00:00:00Z,Amsterdam,photographer
http://www.wikidata.org/entity/Q60281637,Maria Catharina Wolff,1817-12-07T00:00:00Z,Maria Catharina Wolff,1890-08-21T00:00:00Z,The Hague,photographer
http://www.wikidata.org/entity/Q60281727,Adrianna Gosina van Wijk,1891-10-10T00:00:00Z,Adrianna Gosina van Wijk,1980-04-29T00:00:00Z,The Hague,photographer
http://www.wikidata.org/entity/Q60281790,Lion van Wijnbergen,1840-01-03T00:00:00Z,Lion van Wijnbergen,1919-09-11T00:00:00Z,The Hague,photographer
http://www.wikidata.org/entity/Q60281855,Simon Lion van Wijnbergen,1876-03-26T00:00:00Z,Simon Lion van Wijnbergen,1937-08-27T00:00:00Z,The Hague,photographer
http://www.wikidata.org/entity/Q60281915,Jan Ypma,1870-12-28T00:00:00Z,Jan Ypma,1952-11-07T00:00:00Z,The Hague,photographer
http://www.wikidata.org/entity/Q60282115,Johannes Lambertus Muns,1871-08-15T00:00:00Z,Johannes Lambertus Muns,1965-10-31T00:00:00Z,Amersfoort,photographer
http://www.wikidata.org/entity/Q60282142,Anna Martina Elizabeth Nell,1868-02-17T00:00:00Z,Anna Martina Elizabeth Nell,1908-09-30T00:00:00Z,The Hague,photographer
http://www.wikidata.org/entity/Q60282189,Dirk Koper,1899-02-18T00:00:00Z,Dirk Koper,1988-04-23T00:00:00Z,,photographer
http://www.wikidata.org/entity/Q60282210,Karl Peter Wijnand Hubert Korfmacher,1872-09-13T00:00:00Z,Karl Peter Wijnand Hubert Korfmacher,1956-05-28T00:00:00Z,Roermond,photographer
http://www.wikidata.org/entity/Q60282231,Petronella Francina Cornelia Kramer,1872-02-10T00:00:00Z,Petronella Francina Cornelia Kramer,1942-03-11T00:00:00Z,Utrecht,photographer
http://www.wikidata.org/entity/Q60282256,Johannes Wilhelmus Kroese,1878-12-14T00:00:00Z,Johannes Wilhelmus Kroese,1925-01-19T00:00:00Z,Amsterdam,photographer
http://www.wikidata.org/entity/Q60282323,Cornelia Kuijper,1881-11-12T00:00:00Z,Cornelia Kuijper,1962-02-05T00:00:00Z,Groningen,photographer
